Index,College Name,Year,SS(20),FSR(30),FQE(20),FRU(30),Allover Rank
1,Indian Institute of Technology Bombay,2023,18.5,24,16,20.53,3
2,Indian Institute of Technology (Banaras Hindu University) VaranasiMore,2023,16.8,17.7,12.35,14.27,15
3,National Institute of Technology Calicut,2023,16,27.3,17.41,13.33,23
4,Kalasalingam Academy of Research and Education,2023,16.47,30,17.59,10.07,36
5,Sri Sivasubramaniya Nadar College of Engineering,2023,12.5,28.32,16.13,10.73,45
6,National Institute of Technology Kurukshetra,2023,15.11,17.78,10.16,11.9,58
7,Manipal Institute of Technology,2023,16.34,27.77,13.86,7.77,61
8,Sri Krishna College of Engineering and Technology,2023,11.89,27.88,13.38,10.52,77
9,Guru Gobind Singh Indraprastha University,2023,9.5,23.98,13.84,8.01,84
10,SR University,2023,10.93,30,17.52,6.87,98