SS/20,FSR/30,FQE/20,FRU/30,TLR/100
18.44,26.46,17.51,18.1,80.51
18.11,25.43,16.16,19.58,79.28
16.69,27.4,16.48,18.68,79.25
12.24,30,17.57,22.54,82.35
17.21,19.13,13.14,12.73,62.21
9.43,28.85,17.38,20.84,76.5
16.75,30,16.93,7.4,71.08
13.34,19.37,12.32,10.69,55.72
17,27.51,13.03,11.36,68.9
14.48,26.96,12.87,17.99,72.3
11.49,18.67,12.8,13.49,56.45
9.04,14.39,9.8,13.33,46.56
13.48,16.44,8.02,9.2,47.14
13.29,22.23,12.38,7.9,55.8
14.5,23.58,10.07,8.56,56.71
8.38,30,13.3,7.8,59.48
12.45,20.16,9.63,6.73,48.97
3.55,20.36,11.59,11.29,46.79
11.98,22.56,9.99,5.64,50.17
9.01,26.33,17.21,3.48,56.03